m43;色彩;สี ;Màu;색상;Color;Color;Farbe;Colore;色彩;色彩;Color;色彩;色彩;色彩;色彩;цвет;色彩;色彩;色彩;色彩;色彩;色彩
m44;ISO;ISO;ISO;ISO;ISO;ISO;ISO;ISO;ISO;ISO;ISO;ISO;ISO;ISO;ISO;ISO;ISO;ISO;ISO;ISO;ISO;ISO
m45;曝光补偿;การเปิดรับแสง;Phơi sáng;노출;Exposure;Exposition;Belichtung;Esposizione;曝光补偿;曝光补偿;Exposición;曝光补偿;曝光补偿;曝光补偿;曝光补偿;экспозиция;曝光补偿;曝光补偿;曝光补偿;曝光补偿;曝光补偿;曝光补偿
m46;防手震;ป้องกันมือสั่น;Chống rung;안티 - 흔들어;Anti-shaking;Stabilisation;Stabilisierung;Stabilizzazione;防手震;防手震;Estabilización;防手震;防手震;防手震;防手震;Защиты от сотрясений;防手震;防手震;防手震;防手震;防手震;防手震
m47;快速预览;เรียกดูได้อย่างรวดเร็ว;Xem trước nhanh;빠른 검토;Quick Review;Bilan Rapide;Schnelldurchlauf;Visualizz.Rapida;快速预览;快速预览;Revisión Rápida;快速预览;快速预览;快速预览;快速预览;Быстрый просмотр;快速预览;快速预览;快速预览;快速预览;快速预览;快速预览
m48;日期标签;ตราประทับบนไปรษณียภัณฑ์วันที่;Hiện ngày giờ;날짜 표시;Date Stamp;Marque Date;Datumsanzeige;Stampa Data;日期标签;日期标签;lmpresión Fecha;日期标签;日期标签;日期标签;日期标签;штамп даты;日期标签;日期标签;日期标签;日期标签;日期标签;日期标签
m49;补光灯;แสงโคมไฟ;Đèn nháy;빛을 채우기;Fill light;Fill light;blinken;补光灯;补光灯;补光灯;补光灯;补光灯;补光灯;补光灯;补光灯;свет;补光灯;补光灯;补光灯;补光灯;补光灯;补光灯
m50;电视制式;โหมดทีวี;Chế độ TV;TV 모드;TV Mode;TV Mode;TV-System;TV Mode;TV Mode;TV Mode;TV Mode;TV Mode;TV Mode;TV Mode;TV Mode;TV Mode;TV Mode;TV Mode;TV Mode;TV Mode;TV Mode;TV Mode
m51;PAL;PAL;PAL;PAL;PAL;PAL;PAL;PAL;PAL;PAL;PAL;PAL;PAL;PAL;PAL;PAL;PAL;PAL;PAL;PAL;PAL;PAL
m52;NTSC;;NTSC;NTSC;NTSC;NTSC;NTSC;NTSC;NTSC;NTSC;NTSC;NTSC;NTSC;NTSC;NTSC;NTSC;NTSC;NTSC;NTSC;NTSC;NTSC;NTSC
m53;12M 4032x3024;12M 4032x3024;12M 4032x3024;12M 4032x3027;12M 4032x3024;12M 4032x3024;12M 4032x3024;12M 4032x3024;12M 4032x3032;12M 4032x3033;12M 4032x3024;12M 4032x3035;12M 4032x3036;12M 4032x3037;12M 4032x3038;12M 4032x3024;12M 4032x3040;12M 4032x3041;12M 4032x3042;12M 4032x3043;12M 4032x3044;12M 4032x3045
m54;10M 3648x2738;10M 3648x2738;10M 3648x2738;10M 3648x2741;10M 3648x2738;10M 3648x2738;10M 3648x2738;10M 3648x2738;10M 3648x2746;10M 3648x2747;10M 3648x2738;10M 3648x2749;10M 3648x2750;10M 3648x2751;10M 3648x2752;10M 3648x2738;10M 3648x2754;10M 3648x2755;10M 3648x2756;10M 3648x2757;10M 3648x2758;10M 3648x2759
m55;8M;8M;8M;8M;8M;8M;8M;8M;8M;8M;8M;8M;8M;8M;8M;8M;8M;8M;8M;8M;8M;8M
m56;5M ;5M ;5M ;5M ;5M ;5M ;5M ;5M ;5M ;5M ;5M ;5M ;5M ;5M ;5M ;5M ;5M ;5M ;5M ;5M ;5M ;5M 
m57;3M;3M;3M;3M;3M;3M;3M;3M;3M;3M;3M;3M;3M;3M;3M;3M;3M;3M;3M;3M;3M;3M
m58;2M;2M;2M;2M;2M;2M;2M;2M;2M;2M;2M;2M;2M;2M;2M;2M;2M;2M;2M;2M;2M;2M
m59;VGA 640x480;VGA 640x480;VGA 640x480;VGA 640x480;VGA 640x480;VGA 640x480;VGA 640x480;VGA 640x480;VGA 640x480;VGA 640x480;VGA 640x480;VGA 640x480;VGA 640x480;VGA 640x480;VGA 640x480;VGA 640x480;VGA 640x480;VGA 640x480;VGA 640x480;VGA 640x480;VGA 640x480;VGA 640x480
m60;1.3M 1280x960;1.3M 1280x960;1.3M 1280x960;1.3M 1280x960;1.3M 1280x960;1.3M 1280x960;1.3M 1280x960;1.3M 1280x960;1.3M 1280x960;1.3M 1280x960;1.3M 1280x960;1.3M 1280x960;1.3M 1280x960;1.3M 1280x960;1.3M 1280x960;1.3M 1280x960;1.3M 1280x960;1.3M 1280x960;1.3M 1280x960;1.3M 1280x960;1.3M 1280x960;1.3M 1280x960
m61;优质;ที่ดีกว่า;Đẹp;파인;Fine;Forte;Fein;Forte;优质;优质;Alta;优质;优质;优质;优质;отлично ;优质;优质;优质;优质;优质;优质
m62;标准;โดยทั่วไป;Bình thường;일반;Normal;Normale;Normal;Normale;标准;标准;Normal;标准;标准;标准;标准;Нормальная ;标准;标准;标准;标准;标准;标准
m63;经济;เศรษฐกิจ;Tiết kiệm;경제;Economy;économie;Sparsam;Economia;经济;经济;Económ;经济;经济;经济;经济;Экономика ;经济;经济;经济;经济;经济;经济
m64;强烈;ที่แข็งแกร่ง;Mạnh;강한;Strong;Forte;Stark;forte;强烈;强烈;Alta;强烈;强烈;强烈;强烈;сильный ;强烈;强烈;强烈;强烈;强烈;强烈
m65;标准;โดยทั่วไป;Bình thường;일반;Normal;Normale;Normal;Normale;标准;标准;Normal;标准;标准;标准;标准;Нормальная ;标准;标准;标准;标准;标准;标准
m66;柔和;นุ่ม;Nhẹ nhàng;소프트;Soft;Douce;Weich;Leggera;柔和;柔和;Baja;柔和;柔和;柔和;柔和;Мягкий ;柔和;柔和;柔和;柔和;柔和;柔和
m67;自动;โดยอัตโนมัติ;Tự động;자동;Auto;Auto;Auto;Automatico;自动;自动;Auto;自动;自动;自动;自动;Авто ;自动;自动;自动;自动;自动;自动
m68;日光;ดวงอาทิตย์;Ban ngày;일광;Daylight;Ensoleille;Sonig;Luce Diurna;日光;日光;Sol;日光;日光;日光;日光;дневной свет ;日光;日光;日光;日光;日光;日光
m69;阴天;เมฆ;Mây;구름;Cloudy;Nuageux;Wolkig;Nuvoloso;阴天;阴天;Nubes;阴天;阴天;阴天;阴天;Облачно ;阴天;阴天;阴天;阴天;阴天;阴天
m70;钨丝灯;หลอดไฟ;Đèn sợi đốt;텅스텐;Tungsten;Tungstene;Kunstlicht;Tungsteno;钨丝灯;钨丝灯;Tungsteno;钨丝灯;钨丝灯;钨丝灯;钨丝灯;Вольфрам ;钨丝灯;钨丝灯;钨丝灯;钨丝灯;钨丝灯;钨丝灯
m71;荧光灯;หลอดฟลูออเรสเซนต์;Huỳnh quang;형광;Fluorescent;Fluor;Neonlicht;Fluorescente;荧光灯;荧光灯;Fluoro;荧光灯;荧光灯;荧光灯;荧光灯;Люминесцентная ;荧光灯;荧光灯;荧光灯;荧光灯;荧光灯;荧光灯
m72;无特效;ไม่มีพิเศษ;Bình thường;무 특효;Normal;Aucun effet;keine Effekte;Nessun effetto;geen effecten;Nenhuns efeitos;No hay efectos;Inga effekter;Žádné účinky;无特效;Brak efektów;нет средств;无特效;无特效;ไม่มีผลกระทบ;无特效;无特效;无特效
m73;黑白;สีดำและสีขาว;Đen trắng;흑백;Black and White;noir et blanc;Schwarz und Weiß;bianco e nero;zwart en wit;preto e branco;en blanco y negro;svart och vitt;Černá a bílá;黑白;czarny i biały;черное и белое;黑白;黑白;สีดำและสีขาว;黑白;黑白;黑白
m74;怀旧;คิดถึง;Sepia;노 스 탤 지어;Sepia;réminiscence;Reminiszenz;reminiscenza;herinnering;reminiscência;reminiscencia;Tankar;reminiscence;怀旧;wspomnienie;воспоминания;怀旧;怀旧;ความทรงจำ;怀旧;怀旧;怀旧
m75;负片;ฟิล์ม;Âm bản;원판;Negative ;négatif;negativ;negativo;negatief;negativo;negativo;negativ;negativní;负片;negatywny;отрицательный;负片;负片;เชิงลบ;负片;负片;负片
m76;曝晒;จากแสงแดด;Chỉnh sáng;기온 이 올 라;Solarization;exposition;Belichtung;Solarizzazione;belichting;exposição;exposición;exponering;expozice;曝晒;ekspozycja;экспозиция;曝晒;曝晒;การเปิดเผย;曝晒;曝晒;曝晒
m77;200;200;200;200;200;200;200;200;208;209;200;211;212;213;214;200;216;217;218;219;220;221
m78;400;400;400;400;400;400;400;400;408;409;400;411;412;413;414;400;416;417;418;419;420;421
m79;2秒;2 seconds;2 giây;이초;2 seconds;2 Seconds;2 seconds;2 secondi;10秒;11秒;2 Segundos;13秒;14秒;15秒;16秒;2 секунды ;18秒;19秒;20秒;21秒;22秒;23秒
m80;5秒;5 seconds;5 giây;오초;5 seconds;5 Seconds;5 seconds;5 secondi;13秒;14秒;5 Segundos;16秒;17秒;18秒;19秒;5 секунд ;21秒;22秒;23秒;24秒;25秒;26秒
m81;日期;วันที่;Ngày;날짜;Date;Date;Date;Date;日期;日期;Fecha;日期;日期;日期;日期;дата ;日期;日期;日期;日期;日期;日期
m82;日期/时间;วันที่ / เวลา;Ngày/Giờ;날짜 / 시간;Date/Time;Date/Heure;Datum/Uhrzeit;Date/Ora;日期/时间;日期/时间;Fecha/Hora;日期/时间;日期/时间;日期/时间;日期/时间;Дата / время ;日期/时间;日期/时间;日期/时间;日期/时间;日期/时间;日期/时间
m83;回放;เล่น;Phát lại;방송;Broadcast;delecture;Wiedergabe;Riproduzione;回放;回放;playback;回放;回放;回放;回放;трансляция ;回放;回放;回放;回放;回放;回放
m84;删除;ลบ;Xóa;삭제;Delete;Effacer;löschen;Elimina;删除;删除;Borrar;删除;删除;删除;删除;Удалить ;删除;删除;删除;删除;删除;删除
m85;保护;การคุ้มครอง;Bảo vệ;보호;Protection;Protection;Schutz;Protezione;保护;保护;Proteger;保护;保护;保护;保护;Защита ;保护;保护;保护;保护;保护;保护
m86;幻灯片播放;สไลด์โชว์;Trình chiếu;슬라이드 쇼;Slideshow;Diaporama;Diashow;Mostra Diapositive;幻灯片播放;幻灯片播放;Ver Diapositivas;幻灯片播放;幻灯片播放;幻灯片播放;幻灯片播放;Слайд-шоу ;幻灯片播放;幻灯片播放;幻灯片播放;幻灯片播放;幻灯片播放;幻灯片播放
m87;删除当前;แฟ้มปัจจุบัน;Xóa đang chọn?;현재 삭제 ?;Delete Current ?;Supprime ie courant;Löschungen z.Z.;Cancella la corrente;删除当前;删除当前;Suprime el actual;删除当前;删除当前;删除当前;删除当前;Удалить ток ;删除当前;删除当前;删除当前;删除当前;删除当前;删除当前
m88;全部删除;ไฟล์ทั้งหมด;Xóa hết?;모두 삭제 ?;Delete All ?;Effacer tont;Alle löschen;Elimina tutto;全部删除;全部删除;Borrar todo;全部删除;全部删除;全部删除;全部删除;Удалить все ;全部删除;全部删除;全部删除;全部删除;全部删除;全部删除
m89;加锁当前;ปกป้องแฟ้มปัจจุบัน;Khóa đang chọn;잠금 현재;Lock One;Verouillz ie courant;Eins Schutz.;Blocchi la corrente;加锁当前;加锁当前;Trabe el actual;加锁当前;加锁当前;加锁当前;加锁当前;Блокировка Текущий ;加锁当前;加锁当前;加锁当前;加锁当前;加锁当前;加锁当前
m90;解锁当前;ยกเลิกการป้องกันไฟล์ปัจจุบัน;Mở khóa đang chọn;현재 의 잠금을 해제;Ulock One;Ouverzle courant;Eins öffnen;Sblocchi la corrente;解锁当前;解锁当前;Abra el actual;解锁当前;解锁当前;解锁当前;解锁当前;Ulock Текущий ;解锁当前;解锁当前;解锁当前;解锁当前;解锁当前;解锁当前
m91;全部加锁;ปกป้องไฟล์ทั้งหมด;Khóa hết;모든 잠금;Lock All;Verouiller Tout;Alle Schutz.;Blocca tuto;全部加锁;全部加锁;Blog.Todo;全部加锁;全部加锁;全部加锁;全部加锁;ПОЛН.БЛОКИР ;全部加锁;全部加锁;全部加锁;全部加锁;全部加锁;全部加锁
m92;解锁全部;ยกเลิกการป้องกันไฟล์ทั้งหมด;Mở khóa hết;모든 잠금을 해제;Ulock All;Déverrouiller Tout;Alle öffnen;Sblocca tutto;解锁全部;解锁全部;Desblog.Todo;解锁全部;解锁全部;解锁全部;解锁全部;Ulock Все ;解锁全部;解锁全部;解锁全部;解锁全部;解锁全部;解锁全部
m93;2秒;2 seconds;2 Giây;2 초;2 Seconds;2 Seconds;2 Sek;2 secondi;10秒;11秒;2 Segundos;13秒;14秒;15秒;16秒;2 секунд ;18秒;19秒;20秒;21秒;22秒;23秒
m94;5秒;5 seconds;5 Giây;5 초;5 Seconds;5 Seconds;5 Sek;5 secondi;13秒;14秒;5 Segundos;16秒;17秒;18秒;19秒;5 секунд ;21秒;22秒;23秒;24秒;25秒;26秒
m95;8秒;8 seconds;8 Giây;8 초;8 Seconds;8 Seconds;8 Sek;8 Secondi;16秒;17秒;8 Segundos;19秒;20秒;21秒;22秒;8 секунд ;24秒;25秒;26秒;27秒;28秒;29秒
m96;设置;การตั้งค่า;Cài đặt;설치;Setup;Reglages;Einstellungen;lmpostazioni;设置;设置;Configuración;设置;设置;设置;设置;установка ;设置;设置;设置;设置;设置;设置
m97;日期/时间;วันที่ / เวลา;Ngày/Giờ;날짜 / 시간;Date/Time;Date/Heure;Datum/Uhrzeit;Date/Ora;日期/时间;日期/时间;Fecha/Hora;日期/时间;日期/时间;日期/时间;日期/时间;Дата / время ;日期/时间;日期/时间;日期/时间;日期/时间;日期/时间;日期/时间
m98;自动关机;ปิดโดยอัตโนมัติ;Tự động tắt;자동 전원 차단;Auto Power Off;Arret Auto;Auto Aus;Spegnim.aut.;自动关机;自动关机;Desconexión Automático;自动关机;自动关机;自动关机;自动关机;AutomaticPowerOff ;自动关机;自动关机;自动关机;自动关机;自动关机;自动关机
m99;按键声音;เสียงแจ้งเตือน;Tiếng bíp;키 소리;Beep Sound;Bip Sonore;Akustisches Signal;Segnale acust.;按键声音;按键声音;Sonido Bip;按键声音;按键声音;按键声音;按键声音;звуковой сигнал ;按键声音;按键声音;按键声音;按键声音;按键声音;按键声音
m100;语言设置;ภาษา;Ngôn ngữ;언어;Language;langues;Sprache;lingua;语言设置;语言设置;ldioma;语言设置;语言设置;语言设置;语言设置;язык ;语言设置;语言设置;语言设置;语言设置;语言设置;语言设置
m101;TV模式;ออกทีวี;Chế độ TV;TV 모드;TV Mode;Mode de TV;TV-Modus;Modo della TV;TV模式;TV模式;Modo de la TV;TV模式;TV模式;TV模式;TV模式;Режим ТВ ;TV模式;TV模式;TV模式;TV模式;TV模式;TV模式
m102;光源频率;ความถี่;Tần số;주파수;Frequency;fréquence;Frequenz;Frequenza;光源频率;光源频率;Frecuencia;光源频率;光源频率;光源频率;光源频率;Частота ;光源频率;光源频率;光源频率;光源频率;光源频率;光源频率
m103;红外灯设定;ชุดอินฟราเรด;Cài đặt đèn hồng ngoại;빨간색 램프 설정;RedLamp setting;Arrangement de lampe;Het plaatsen van de lamp;Regolazione della lampada;红外灯设定;红外灯设定;Ajuste de la lámpara;红外灯设定;红外灯设定;红外灯设定;红外灯设定;установка RedLamp ;红外灯设定;红外灯设定;红外灯设定;红外灯设定;红外灯设定;红外灯设定
m104;影像旋转;หมุนภาพ;Xoay hình ảnh;회전;Rotate;Rotation de l'image;Bilddrehung;Rotazione immagine;影像旋转;影像旋转;Rotación de imagen;影像旋转;影像旋转;影像旋转;影像旋转;поворот изображения ;影像旋转;影像旋转;影像旋转;影像旋转;影像旋转;影像旋转
m105;屏幕保护;โปรแกรมรักษาหน้าจอ;Độ sáng màn hình;의 밝기;LCD Brightness;LCD Brightness;LCD Helligkeit;luminosita LCD;屏幕保护;屏幕保护;Luminosidad LCD;屏幕保护;屏幕保护;屏幕保护;屏幕保护;Яркость экрана ;屏幕保护;屏幕保护;屏幕保护;屏幕保护;屏幕保护;屏幕保护
m106;重力感应;เซ็นเซอร์แรงโน้มถ่วง;Cảm biến trọng lực;중력 감지;Gravity sensing;sensibilité Accélérométre;Schwerkraft-Sensor;Accelerometro sensibilita;重力感应;重力感应;Acelerómeto sensibilidad;重力感应;重力感应;重力感应;重力感应;Gsensor ;重力感应;重力感应;重力感应;重力感应;重力感应;重力感应
m107;设置;การตั้งค่า;Cài đặt;설정;Setting;Réglage;Blenden-Einst.;lmpostazione;设置;设置;Ajuste;设置;设置;设置;设置;Настройка ;设置;设置;设置;设置;设置;设置
m108;格式化;การจัดรูปแบบ;Định dạng;형식;Format;Format;formatieren;Formattazione;格式化;格式化;Formato;格式化;格式化;格式化;格式化;Формат ;格式化;格式化;格式化;格式化;格式化;格式化
m109;默认设置;โดยค่าเริ่มต้น;Về cài đặt gốc;기본 설정;Default Setting;Regl Defaut;Standard Einstell;lmpost.predef;默认设置;默认设置;configuración por defecto;默认设置;默认设置;默认设置;默认设置;Значение по умолчанию ;默认设置;默认设置;默认设置;默认设置;默认设置;默认设置
m110;版本;รุ่น;Phiên bản;버전;Version;Version;Freisetzung;Versione;版本;版本;Versión;版本;版本;版本;版本;Версия ;版本;版本;版本;版本;版本;版本
m111;关;ปิด;Tắt;오프;Off;Desactive;Aus;OFF;关;关;Apagado;关;关;关;关;выкл.;关;关;关;关;关;关
m112;1分钟;1 นาที;1 Phút;1 분;1 Minute;1 Min;1 Min;1 Min;9分钟;10分钟;1 Min;12分钟;13分钟;14分钟;15分钟;1 минуту ;17分钟;18分钟;19分钟;20分钟;21分钟;22分钟
m113;3分钟;3 นาที;3 Phút;3 분;3 Minutes;3 Mins;3 Min;3 Min;11分钟;12分钟;3 Min;14分钟;15分钟;16分钟;17分钟;3 минут ;19分钟;20分钟;21分钟;22分钟;23分钟;24分钟
m114;Tiếng Việt;Tiếng Việt;Tiếng Việt;Tiếng Việt;Tiếng Việt;Tiếng Việt;Tiếng Việt;Tiếng Việt;Tiếng Việt;Tiếng Việt;Tiếng Việt;Tiếng Việt;Tiếng Việt;Tiếng Việt;Tiếng Việt;Tiếng Việt;Tiếng Việt;Tiếng Việt;Tiếng Việt;Tiếng Việt;Tiếng Việt;Tiếng Việt
m115;русский;русский;русский;русский;русский;русский;русский;русский;русский;русский;русский;русский;русский;русский;русский;русский;русский;русский;русский;русский;русский;русский
